Index, Matrix, , , , , , Eig.val, CR, Eig.vec, , , , , LP. vec, , , , ,  
138, 2, 3, 0.5, 0.333333, 0.142857, 0.25, 4.19639, 0.0740521, , 1, 0.300139, 0.539096, 1.95764, , 1, 0.300139, 0.539096, 2, , 
139, 2, 3, 0.333333, 0.5, 0.125, 0.166667, 4.10314, 0.0388918, , 1, 0.352916, 0.486151, 2.81657, , 1, 0.352916, 0.486151, 2.82333, , 
140, 2, 3, 0.333333, 0.5, 0.111111, 0.166667, 4.10314, 0.0388918, , 1, 0.342829, 0.483959, 2.89681, , 1, 0.342829, 0.483959, 2.90376, , 
141, 2, 3, 0.333333, 0.333333, 0.111111, 0.2, 4.19656, 0.0741186, , 1, 0.308317, 0.561634, 2.68508, , 1, 0.308317, 0.561634, 2.77485, , 
142, 2, 3, 0.333333, 0.333333, 0.111111, 0.166667, 4.19903, 0.0750486, , 1, 0.311397, 0.543866, 2.83391, , 1, 0.311397, 0.543866, 2.83391, , 
143, 2, 4, 8, 3, 3, 3, 4.10314, 0.0388918, , 1, 0.532562, 0.258905, 0.1253, , 1, 0.531288, 0.258286, 0.125, , 
144, 2, 4, 9, 3, 3, 3, 4.10314, 0.0388918, , 1, 0.51781, 0.250599, 0.118347, , 1, 0.516572, 0.25, 0.118064, , 
145, 2, 4, 9, 3, 3, 4, 4.1664, 0.0627469, , 1, 0.525859, 0.276112, 0.112249, , 1, 0.520529, 0.273313, 0.111111, , 
146, 2, 4, 9, 4, 3, 4, 4.24691, 0.0931042, , 1, 0.583364, 0.262776, 0.114342, , 1, 0.566878, 0.25535, 0.111111, , 
147, 2, 4, 0.5, 3, 0.166667, 0.166667, 4.10314, 0.0388918, , 1, 0.51781, 0.250599, 2.13025, , 1, 0.516572, 0.25, 2.12515, , 
148, 2, 4, 0.5, 3, 0.142857, 0.2, 4.17816, 0.0671798, , 1, 0.508607, 0.268705, 2.17225, , 1, 0.5, 0.264157, 2.13549, , 
149, 2, 4, 0.5, 3, 0.142857, 0.166667, 4.1365, 0.0514697, , 1, 0.502909, 0.252328, 2.24273, , 1, 0.5, 0.250868, 2.22976, , 
150, 2, 4, 0.5, 4, 0.142857, 0.2, 4.26098, 0.0984071, , 1, 0.564368, 0.255913, 2.21717, , 1, 0.551328, 0.25, 2.16594, , 
151, 2, 4, 0.5, 0.5, 0.166667, 0.2, 4.16554, 0.0624192, , 1, 0.319156, 0.398529, 1.86622, , 1, 0.319156, 0.398529, 1.91494, , 
152, 2, 4, 0.5, 0.5, 0.142857, 0.2, 4.16649, 0.0627806, , 1, 0.307754, 0.395658, 1.93671, , 1, 0.307754, 0.395658, 1.97829, , 
153, 2, 4, 0.333333, 3, 0.111111, 0.111111, 4.10314, 0.0388918, , 1, 0.51781, 0.250599, 3.19537, , 1, 0.516572, 0.25, 3.18773, , 
